,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria
. Plausible values,max,,,,,,,,,2.40,0.20,1.00,2.00,,,,,,
. Plausible values,min,,,,,,,,,1.20,0.01,1.00,0.00,,,,,,
model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585,Synthesis,AR6 TCR very likely range,Bru20 perf,Qasmi Constr Global Dtas ssp245 2050,Sevault MED SST,AR6 TCR as spread,Sch20 ECS,Atlas Dtas MED JJA ssp585,Atlas Dpr MED JJA ssp585,Sevault MED SST warming ssp585,Bru20 mfamily
ACCESS-CM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.10,0.07,0.00,1.10,2.10,4.72,6.37,-14.53,4.20,HadGEM
ACCESS-CM2,r4i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.10,0.07,0.00,,2.10,,,,,
ACCESS-CM2,r5i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.10,0.07,0.00,,2.10,,,,,
ACCESS-ESM1-5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,1.95,0.04,1.00,1.20,1.95,3.87,5.71,-25.48,4.00,
ACCESS-ESM1-5,r2i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,0,,0.04,1.00,,,,,,,
ACCESS-ESM1-5,r3i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,0,,0.04,1.00,,,,,,,
AWI-CM-1-1-MR,r1i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,1,2.06,0.06,0.00,0.90,2.06,3.16,5.63,,3.40,
AWI-ESM-1-1-LR,r1i1p1f1,0.00,RCM,,,,,,0,,,,1.30,,,,,,
BCC-CSM2-MR,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,1.72,0.02,1.00,1.30,1.72,3.04,5.08,-44.93,3.20,
BCC-ESM1,r1i1p1f1,0.00,ESD,,,,ESD,,0,1.77,,,1.50,1.77,3.26,,,,
CAMS-CSM1-0,r1i1p1f1,0.00,-,-,-,-,-,-,0,1.73,0.06,,1.80,1.73,,,,2.50,
CAMS-CSM1-0,r2i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,0,,0.06,,,,2.29,3.61,-35.15,,
CAS-ESM2-0,r1i1p1f1,0.00,-,,-,-,-,-,0,2.04,,1.00,1.20,2.04,3.51,,,,
CESM2,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,0.02,0.00,1.20,,,,,,CESM
CESM2,r2i1p1f1,1.00,ESD,,RCM,RCM,RCM,RCM,1,2.06,0.02,0.00,,2.06,5.16,,,3.80,CESM
CESM2,r4i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,0.00,,,,5.88,-27.04,,
CESM2,r11i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.06,0.02,0.00,,2.06,,,,,
CESM2-FV2,r1i1p1f1,0.00,Basic,,,,,,0,2.05,,,1.20,2.05,5.14,,,,
CESM2-WACCM,r1i1p1f1,0.00,ESD,,ESD,Basic,Basic,ESD,1,1.98,0.01,0.00,1.20,1.98,4.75,6.06,-24.97,3.80,CESM
CESM2-WACCM-FV2,r1i1p1f1,0.00,Basic,,,,,,0,2.01,,,1.10,2.01,4.79,,,,
CIESM,r1i1p1f1,0.00,-,,-,-,,-,1,2.39,,0.00,1.10,2.39,,,,4.00,
CMCC-CM2-HR4,r1i1p1f1,0.00,Basic,,,,,,0,,,,0.80,,,,,,
CMCC-CM2-SR5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.09,,0.00,1.10,2.09,3.52,6.11,-8.78,4.00,
CMCC-ESM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,0.00,,,,,,,
CNRM-CM6-1,r1i1p1f2,0.00,RCM,,RCM,ESD,ESD,RCM,0,2.14,0.02,1.00,1.00,2.14,4.83,6.27,-47.74,3.40,CNRM
CNRM-CM6-1,r2i1p1f2,0.00,RCM,,-,-,ESD,-,0,,0.02,1.00,,,,,,,CNRM
CNRM-CM6-1,r3i1p1f2,0.00,RCM,,-,-,ESD,-,0,,0.02,1.00,,,,,,,CNRM
CNRM-CM6-1,r4i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,1.00,,,,,,,CNRM
CNRM-CM6-1,r5i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,1.00,,,,,,,CNRM
CNRM-CM6-1,r6i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,1.00,,,,,,,CNRM
CNRM-CM6-1-HR,r1i1p1f2,0.00,RCM,,ESD,-,-,ESD,2,2.48,0.02,0.00,1.10,2.48,4.28,6.47,-55.05,3.80,CNRM
CNRM-ESM2-1,r1i1p1f2,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.86,0.02,1.00,1.30,1.86,4.76,5.78,-48.05,3.10,CNRM
CNRM-ESM2-1,r2i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,0.02,1.00,,,,,,,CNRM
CNRM-ESM2-1,r3i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,0.02,1.00,,,,,,,CNRM
CNRM-ESM2-1,r4i1p1f2,0.00,Basic,-,-,-,-,-,0,,0.02,1.00,,,,,,,CNRM
CNRM-ESM2-1,r5i1p1f2,0.00,Basic,-,-,-,-,-,0,,0.02,1.00,,,,,,,CNRM
CanESM5,r1i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,0.90,,5.62,7.45,-7.57,5.10,CanESM
CanESM5,r1i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,2.74,0.00,0.00,,2.74,,,,,CanESM
CanESM5,r2i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,,,,,
CanESM5,r2i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,2.74,0.00,0.00,,2.74,,,,,CanESM
CanESM5,r3i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,,,,,
CanESM5,r3i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,2.74,0.00,0.00,,2.74,,,,,CanESM
CanESM5,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,,,,,
CanESM5,r4i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r5i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,,,,,
CanESM5,r5i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r6i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,,,,,
CanESM5,r6i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r7i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,,,,,
CanESM5,r7i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r8i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,,,,,
CanESM5,r8i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r9i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,,,,,
CanESM5,r9i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r10i1p1f1,0.00,ESD,Basic,ESD,ESD,ESD,ESD,1,,,0.00,,,,,,,
CanESM5,r10i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r11i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r11i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r12i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r12i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r13i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r13i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r14i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r14i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r15i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r15i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r16i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r16i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r17i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r17i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r18i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r18i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r19i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r19i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r20i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r20i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r21i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r21i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r22i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r22i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r23i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r23i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r24i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r24i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r25i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r25i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r26i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r27i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r28i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r29i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r30i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r31i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r32i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r33i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r34i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r35i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r36i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r37i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r38i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r39i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r40i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r41i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r42i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r43i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r44i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r45i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r46i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r47i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r48i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r49i1p2f1,,,,,,,,1,,0.00,,,,,,,,
