,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
. Plausible values,max,,,,,,,,,1.00,2.40,0.20,1.00,,,,,,,,,
. Plausible values,min,,,,,,,,,0.00,1.20,0.01,1.00,,,,,,,,,
model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585,Synthesis,Dalelane MNQS,AR6 TCR very likely range,Bru20 perf,Qasmi Constr Global Dtas ssp245 2050,AR6 TCR as spread,Sch20 ECS,Atlas Dtas SIO Annual ssp585,Atlas Dtas MDG Annual ssp585,Bru20 mfamily,Aer. species,atm. res. km,Bra21 complexity,Calendar
ACCESS-CM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,0.79,2.10,0.07,0.00,2.10,4.72,3.47,4.13,HadGEM,,250.00,2222002000.00,gregorian
ACCESS-CM2,r4i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,2.10,0.07,0.00,2.10,,,,,,,,
ACCESS-CM2,r5i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,2.10,0.07,0.00,2.10,,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,0.77,1.95,0.04,1.00,1.95,3.87,2.60,3.30,,,250.00,2222122020.00,gregorian
ACCESS-ESM1-5,r2i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,0,,,0.04,1.00,,,,,,,,,
ACCESS-ESM1-5,r3i1p1f1,0.00,RCM,,ESD,ESD,ESD,ESD,0,,,0.04,1.00,,,,,,,,,
AWI-CM-1-1-MR,r1i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,1,,2.06,0.06,0.00,2.06,3.16,2.34,2.73,,,100.00,,gregorian
AWI-ESM-1-1-LR,r1i1p1f1,0.00,RCM,,,,,,,,,,,,,,,,,,2222220100.00,
BCC-CSM2-MR,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,0.78,1.72,0.02,1.00,1.72,3.04,2.39,2.57,,,100.00,2222221120.00,365_day
BCC-ESM1,r1i1p1f1,0.00,ESD,,,,ESD,,0,,1.77,,,1.77,3.26,,,,dust so4 ss,,,
BCC-ESM1,r2i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,dust so4 ss,,,
BCC-ESM1,r3i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,dust so4 ss,,,
CAMS-CSM1-0,r1i1p1f1,0.00,-,-,-,-,-,-,0,,1.73,0.06,,1.73,,,,,,100.00,,365_day
CAMS-CSM1-0,r2i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,0,,,0.06,,,2.29,2.01,2.18,,,,,
CAS-ESM2-0,r1i1p1f1,0.00,-,,-,-,-,-,0,,2.04,,1.00,2.04,3.51,,,,,100.00,,365_day
CESM2,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,0.79,,0.02,0.00,,,,,CESM,bc dust oa so4,,,
CESM2,r2i1p1f1,1.00,ESD,,RCM,RCM,RCM,RCM,1,0.75,2.06,0.02,0.00,2.06,5.16,,,CESM,bc dust oa so4 ss,100.00,,365_day
CESM2,r3i1p1f1,0.00,ESD,,,Basic,-,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r4i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,4.01,4.35,,bc dust oa so4,,,
CESM2,r5i1p1f1,0.00,ESD,,,,-,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r6i1p1f1,0.00,ESD,,,,-,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r10i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,,,,,,,,,,,bc dust oa so4,,,
CESM2,r11i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,2.06,0.02,0.00,2.06,,,,,bc dust oa so4,100.00,,
CESM2-FV2,r1i1p1f1,0.00,Basic,,,,,,0,,2.05,,,2.05,5.14,,,,,,,
CESM2-WACCM,r1i1p1f1,0.00,ESD,,ESD,Basic,Basic,ESD,1,,1.98,0.01,0.00,1.98,4.75,3.98,4.40,CESM,bc dust oa so4,100.00,,365_day
CESM2-WACCM,r2i1p1f1,0.00,ESD,,,ESD,Basic,Basic,,,,,,,,,,,bc dust oa so4,,,
CESM2-WACCM,r3i1p1f1,0.00,ESD,,,ESD,Basic,ESD,,,,,,,,,,,bc dust oa so4,,,
CESM2-WACCM-FV2,r1i1p1f1,0.00,Basic,,,,,,0,,2.01,,,2.01,4.79,,,,,,,
CIESM,r1i1p1f1,0.00,-,,-,-,,-,1,,2.39,,0.00,2.39,,,,,,100.00,,365_day
CMCC-CM2-SR5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,0.75,2.09,,0.00,2.09,3.52,2.92,3.13,,,100.00,,365_day
CMCC-ESM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,0.00,,,,,,,100.00,,365_day
CMCC-ESM2,r1i1p1f2,,,,,,,,0,0.75,,,,,,,,,,,,
CNRM-CM6-1,r1i1p1f1,,,,,,,,0,0.79,,,,,,,,,,,,gregorian
CNRM-CM6-1,r1i1p1f2,0.00,RCM,,RCM,ESD,ESD,RCM,0,,2.14,0.02,1.00,2.14,4.83,3.19,3.86,CNRM,bc dust oa so4 ss,150.00,2222101100.00,
CNRM-CM6-1,r2i1p1f2,0.00,RCM,,-,-,ESD,-,0,,,0.02,1.00,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-CM6-1,r3i1p1f2,0.00,RCM,,-,-,ESD,-,0,,,0.02,1.00,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-CM6-1,r4i1p1f2,0.00,ESD,,-,-,-,-,0,,,0.02,1.00,,,,,CNRM,,,,
CNRM-CM6-1,r5i1p1f2,0.00,ESD,,-,-,-,-,0,,,0.02,1.00,,,,,CNRM,,,,
CNRM-CM6-1,r6i1p1f2,0.00,ESD,,-,-,-,-,0,,,0.02,1.00,,,,,CNRM,,,,
CNRM-CM6-1-HR,r1i1p1f1,,,,,,,,,,,,,,,,,,,,,gregorian
CNRM-CM6-1-HR,r1i1p1f2,0.00,RCM,,ESD,-,-,ESD,2,,2.48,0.02,0.00,2.48,4.28,3.24,3.91,CNRM,,,2222101100.00,
CNRM-ESM2-1,r1i1p1f2,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,0.75,1.86,0.02,1.00,1.86,4.76,2.89,3.58,CNRM,bc dust oa so4 ss,150.00,2222222220.00,gregorian
CNRM-ESM2-1,r2i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,,0.02,1.00,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r3i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,,0.02,1.00,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r4i1p1f2,0.00,Basic,-,-,-,-,-,0,,,0.02,1.00,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r5i1p1f2,0.00,Basic,-,-,-,-,-,0,,,0.02,1.00,,,,,CNRM,bc dust oa so4 ss,,,
CanESM5,r1i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,0.78,,,0.00,,5.62,3.88,4.37,CanESM,dust ss,,2222222121.00,
CanESM5,r1i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,0.82,2.74,0.00,0.00,2.74,,,,CanESM,dust ss,500.00,,365_day
CanESM5,r2i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r2i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,,2.74,0.00,0.00,2.74,,,,CanESM,dust ss,500.00,,
CanESM5,r3i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r3i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,,2.74,0.00,0.00,2.74,,,,CanESM,dust ss,500.00,,
CanESM5,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r4i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r5i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r5i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r6i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r6i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r7i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r7i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r8i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r8i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r9i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r9i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r10i1p1f1,0.00,ESD,Basic,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r10i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r11i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r11i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r12i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r12i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r13i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r13i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r14i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r14i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r15i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r15i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r16i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r16i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r17i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r17i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r18i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r18i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r19i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r19i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r20i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r20i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r21i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r21i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r22i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r22i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r23i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r23i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r24i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r24i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r25i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r25i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r26i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r27i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r28i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r29i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r30i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r31i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r32i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r33i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r34i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r35i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r36i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r37i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r38i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r39i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r40i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r41i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r42i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r43i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r44i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r45i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r46i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r47i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r48i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r49i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r50i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5-CanOE,r1i1p1f1,,,,,,,,1,,,0.00,,,,,,CanESM,,,,365_day
CanESM5-CanOE,r1i1p2f1,0.00,-,,-,-,-,-,1,,,,0.00,,,,,,dust ss,,,
CanESM5-CanOE,r2i1p1f1,,,,,,,,1,,,0.00,,,,,,CanESM,,,,
CanESM5-CanOE,r2i1p2f1,0.00,-,,-,-,-,-,,,,,,,,,,,dust ss,,,
CanESM5-CanOE,r3i1p1f1,,,,,,,,1,,,0.00,,,,,,CanESM,,,,
CanESM5-CanOE,r3i1p2f1,0.00,-,,-,-,-,-,,,,,,,,,,,dust ss,,,
E3SM-1-0,r1i1p1f1,0.00,Basic,,,,,,1,,2.99,,,2.99,5.32,,,,,100.00,,
E3SM-1-1,r1i1p1f1,0.00,-,,,-,,-,,,,,,,,,,,,100.00,,365_day
E3SM-1-1-ECA,r1i1p1f1,0.00,-,,,,,,,,,,,,,,,,,100.00,,
EC-Earth3,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,0.82,2.30,0.01,0.00,2.30,,3.04,3.45,EC-Earth,MACv2-SP approach,100.00,2222101000.00,gregorian
EC-Earth3,r2i1p1f1,0.00,Basic,,,Basic,,,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r3i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r5i1p1f1,,,,,,,,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r6i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r7i1p1f1,0.00,Basic,,,Basic,,,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r11i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,
EC-Earth3-AerChem,r1i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,bc dust no3 oa so4 ss,100.00,2222102000.00,
EC-Earth3-AerChem,r4i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,bc dust no3 oa so4 ss,,,
