model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585
ACCESS-CM2,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
ACCESS-CM2,r4i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
ACCESS-CM2,r5i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
ACCESS-ESM1-5,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
ACCESS-ESM1-5,r6i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
CESM2,r11i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
CMCC-CM2-SR5,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
CMCC-ESM2,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
CNRM-CM6-1,r1i1p1f2,,RCM,,RCM,ESD,ESD,RCM
CNRM-ESM2-1,r1i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
CanESM5,r1i1p2f1,1,RCM,ESD,RCM,RCM,RCM,RCM
CanESM5,r2i1p2f1,1,RCM,ESD,RCM,RCM,RCM,RCM
CanESM5,r3i1p2f1,1,RCM,ESD,RCM,RCM,RCM,RCM
CanESM5-1,r1i1p1f1,,RCM,ESD,ESD,ESD,ESD,RCM
CanESM5-1,r1i1p2f1,,RCM,ESD,ESD,ESD,ESD,RCM
CanESM5-1,r2i1p1f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r2i1p2f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r3i1p1f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r3i1p2f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r4i1p1f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r4i1p2f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r5i1p1f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r5i1p2f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r6i1p1f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r6i1p2f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r7i1p1f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r7i1p2f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r8i1p1f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r8i1p2f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r9i1p1f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r9i1p2f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r10i1p1f1,,RCM,,,ESD,ESD,RCM
CanESM5-1,r10i1p2f1,,RCM,,,ESD,ESD,RCM
EC-Earth3,r1i1p1f1,1,RCM,-,RCM,RCM,RCM,RCM
EC-Earth3,r5i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
EC-Earth3,r11i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
EC-Earth3-Veg,r1i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
EC-Earth3-Veg,r2i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
EC-Earth3-Veg,r3i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
HadGEM3-GC31-LL,r1i1p1f3,,RCM,,RCM,RCM,,RCM
HadGEM3-GC31-MM,r1i1p1f3,,RCM,,RCM,,,RCM
IPSL-CM6A-LR,r1i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r2i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r3i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r4i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r5i1p1f1,,RCM,,,RCM,RCM,
IPSL-CM6A-LR,r6i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r7i1p1f1,,RCM,,,,RCM,
IPSL-CM6A-LR,r8i1p1f1,,RCM,,,,RCM,
IPSL-CM6A-LR,r9i1p1f1,,RCM,,,,RCM,
IPSL-CM6A-LR,r10i1p1f1,,RCM,,,RCM,RCM,
IPSL-CM6A-LR,r11i1p1f1,,RCM,,,RCM,,
IPSL-CM6A-LR,r14i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r22i1p1f1,,RCM,,,RCM,,
IPSL-CM6A-LR,r25i1p1f1,,RCM,,,RCM,,
IPSL-CM6A-LR,r33i1p1f1,,RCM,,,,,RCM
MIROC6,r1i1p1f1,1,RCM,ESD,RCM,RCM,RCM,RCM
MIROC-ES2L,r1i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r2i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r3i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r4i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r5i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r6i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r7i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r8i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r9i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r10i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r11i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r12i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r13i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r14i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r15i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r16i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r17i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r18i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r19i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r20i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r21i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r22i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r23i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r24i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r25i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r26i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r27i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r28i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r29i1p1f2,,RCM,,,RCM,,
MIROC-ES2L,r30i1p1f2,,RCM,,,RCM,,
MPI-ESM1-2-HR,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-HR,r2i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-HR,r3i1p1f1,,RCM,,,,RCM,
MPI-ESM1-2-HR,r4i1p1f1,,RCM,,,,RCM,
MPI-ESM1-2-HR,r5i1p1f1,,RCM,,,,RCM,
MPI-ESM1-2-HR,r6i1p1f1,,RCM,,,,RCM,
MPI-ESM1-2-HR,r7i1p1f1,,RCM,,,,RCM,
MPI-ESM1-2-HR,r8i1p1f1,,RCM,,,,RCM,
MPI-ESM1-2-HR,r9i1p1f1,,RCM,,,,RCM,
MPI-ESM1-2-HR,r10i1p1f1,,RCM,,,,RCM,
MPI-ESM1-2-LR,r1i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r2i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r3i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r4i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r5i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r6i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r7i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r8i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r9i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r10i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r11i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r12i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r13i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r14i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r15i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r16i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r17i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r18i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r19i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r20i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r21i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r22i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r23i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r24i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r25i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r26i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r27i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r28i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r29i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r30i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r31i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r32i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r33i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r34i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r35i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r36i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r37i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r38i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r39i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r40i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r41i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r42i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r43i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r44i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r45i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r46i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r47i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r48i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r49i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r50i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
MPI-ESM-1-2-HAM,r1i1p1f1,,RCM,,,,RCM,
MPI-ESM-1-2-HAM,r2i1p1f1,,RCM,,,,RCM,
MPI-ESM-1-2-HAM,r3i1p1f1,,RCM,,,,RCM,
MRI-ESM2-0,r1i1p1f1,,RCM,ESD,RCM,ESD,ESD,RCM
NorESM2-LM,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
NorESM2-MM,r1i1p1f1,1,RCM,,RCM,3Dml,RCM,RCM
TaiESM1,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
UKESM1-0-LL,r1i1p1f2,1,RCM,ESD,RCM,RCM,RCM,RCM
UKESM1-0-LL,r2i1p1f2,1,RCM,ESD,RCM,RCM,RCM,RCM
UKESM1-0-LL,r3i1p1f2,1,RCM,ESD,RCM,RCM,RCM,RCM
