,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
MIROC-ES2L,r9i1p1f2,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,4,,,,1.00,,,,,,,3.00,2.00,,,3.00,3.00,,,,2.00,3.00,2.00,1.00,,,,1.74,,,,,,,,,,,,dust oa so4,,,
MIROC-ES2L,r10i1p1f2,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,4,,,,1.00,,,,,,,3.00,2.00,,,3.00,3.00,,,,2.00,3.00,2.00,1.00,,,,1.77,,,,,,,,,,,,dust oa so4,,,
MPI-ESM1-2-HR,r1i1p1f1,1.00,AORCM,,AORCM,AORCM,AORCM,AORCM,1,1.66,0.08,0.84,1.00,0.59,1.00,0.00,0.06,-0.11,-3.10,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,0.87,1.00,1.00,1.00,1.00,1.50,1.40,1.66,1.78,2.98,-0.02,0.92,2.48,3.57,-12.05,-30.16,3.00,3.00,2.80,MPI,,2222221020.00,gregorian,100.00
MPI-ESM1-2-HR,r2i1p1f1,1.00,AORCM,,AORCM,AORCM,AORCM,AORCM,1,1.66,0.08,,1.00,0.52,,,,,-3.10,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,1.00,,,1.66,,,,0.92,,,,,3.00,3.00,,MPI,,,gregorian,100.00
MPI-ESM1-2-LR,r1i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.84,0.06,0.82,1.00,0.65,2.00,2.00,0.06,-0.11,,,,,,,,,1.00,0.82,,,,,1.50,1.50,1.84,1.78,3.00,-0.03,,2.84,3.90,-13.32,-52.27,3.00,3.00,2.70,MPI,,2222221020.00,gregorian,250.00
MPI-ESM1-2-LR,r2i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.84,0.06,,1.00,0.73,,,,,,,,,,,,,,,,,,,,,1.84,1.76,,,,,,,,3.00,3.00,,MPI,,,,250.00
MPI-ESM1-2-LR,r3i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.84,0.06,,1.00,0.69,,,,,,,,,,,,,,,,,,,,,1.84,1.74,,,,,,,,3.00,3.00,,MPI,,,,250.00
MPI-ESM1-2-LR,r4i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.84,0.06,,1.00,0.71,,,,,,,,,,,,,,,,,,,,,1.84,1.77,,,,,,,,3.00,3.00,,MPI,,,,250.00
MPI-ESM1-2-LR,r5i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.84,0.06,,1.00,0.74,,,,,,,,,,,,,,,,,,,,,1.84,1.75,,,,,,,,3.00,3.00,,MPI,,,,250.00
MPI-ESM1-2-LR,r6i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.84,0.06,,1.00,0.74,,,,,,,,,,,,,,,,,,,,,1.84,1.77,,,,,,,,3.00,3.00,,MPI,,,,250.00
MPI-ESM1-2-LR,r7i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.84,0.06,,1.00,0.61,,,,,,,,,,,,,,,,,,,,,1.84,1.73,,,,,,,,3.00,3.00,,MPI,,,,250.00
MPI-ESM1-2-LR,r8i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.84,0.06,,1.00,0.63,,,,,,,,,,,,,,,,,,,,,1.84,1.79,,,,,,,,3.00,3.00,,MPI,,,,250.00
MPI-ESM1-2-LR,r9i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.84,0.06,,1.00,0.76,,,,,,,,,,,,,,,,,,,,,1.84,1.76,,,,,,,,3.00,3.00,,MPI,,,,250.00
MPI-ESM1-2-LR,r10i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.84,0.06,,1.00,0.66,,,,,,,,,,,,,,,,,,,,,1.84,1.80,,,,,,,,3.00,3.00,,MPI,,,,250.00
MPI-ESM1-2-LR,r11i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r12i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r13i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r14i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r15i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r16i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r17i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r18i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r19i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r20i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r21i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r22i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r23i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r24i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r25i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r26i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r27i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r28i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r29i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r30i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r31i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r32i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r33i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r34i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r35i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r36i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r37i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r38i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r39i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r40i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r41i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r42i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r43i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r44i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r45i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r46i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r47i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r48i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r49i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r50i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,0.00,AORCM,,,,AORCM,,1,1.80,,,,0.72,1.00,2.00,0.11,-0.16,,,,,,,,,3.00,0.83,,,,,,,1.80,,2.96,,,,,,,,,,,bb,2222222120.00,,250.00
MPI-ESM-1-2-HAM,r2i1p1f1,0.00,AORCM,,,,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb,,,
MPI-ESM-1-2-HAM,r3i1p1f1,0.00,AORCM,,,,AORCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb bc dust oa so4 ss,,,
MRI-ESM2-0,r1i1p1f1,0.00,AORCM,ESD,AORCM,ESD,ESD,AORCM,0,1.64,0.02,0.77,1.00,0.61,0.00,0.00,0.07,-0.19,-2.66,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,0.85,1.00,1.00,1.00,2.00,0.80,2.30,1.64,1.86,3.15,-0.02,-0.05,2.76,4.01,-12.45,-14.73,2.00,2.00,2.90,,bc dust oa so4 ss,2222112210.00,gregorian,100.00
MRI-ESM2-0,r1i2p1f1,0.00,Basic,,,,,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,
MRI-ESM2-0,r2i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,0,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,2.00,,,,1.76,,,,,,,,,,,,bc dust oa so4 ss,,,
MRI-ESM2-0,r3i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,0,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,2.00,,,,1.85,,,,,,,,,,,,bc dust oa so4 ss,,,
MRI-ESM2-0,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,0,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,2.00,,,,1.86,,,,,,,,,,,,bc dust oa so4 ss,,,
MRI-ESM2-0,r5i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,0,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,2.00,,,,1.82,,,,,,,,,,,,bc dust oa so4 ss,,,
NESM3,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,,3Dml,3,2.72,0.01,,1.00,0.71,,,,,-2.03,3.00,2.00,,,1.00,1.00,3.00,1.00,,2.00,2.00,1.00,1.00,2.50,1.70,2.72,1.82,4.72,,0.99,,,,,5.00,4.00,4.20,,,2222221000.00,standard,250.00
NESM3,r2i1p1f1,0.00,3Dml,,3Dml,3Dml,,3Dml,2,,0.01,,,,,,,,,3.00,2.00,,,1.00,1.00,3.00,,,2.00,2.00,1.00,1.00,,,,1.75,,,,,,,,,,,,,,,
NorCPM1,r1i1p1f1,0.00,Basic,,,,,,0,1.56,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,3.05,,,,,,,,,,,,,,
NorESM2-LM,r1i1p1f1,1.00,AORCM,,AORCM,AORCM,AORCM,AORCM,6,1.48,,0.79,0.00,1.00,,,0.06,-0.04,,3.00,3.00,,,3.00,3.00,2.00,3.00,0.80,2.00,2.00,2.00,2.00,1.40,1.90,1.48,1.65,2.54,-0.01,,2.29,4.91,-17.51,-30.75,2.00,1.00,3.50,,bc dust oa so4 ss,2222122120.00,365_day,250.00
NorESM2-LM,r2i1p1f1,0.00,ESD,,,AORCM,Basic,,5,,,,0.00,,,,,,,3.00,3.00,,,3.00,3.00,2.00,,,2.00,2.00,2.00,2.00,,,,,,,,,,,,2.00,1.00,,,bc dust oa so4 ss,,,
NorESM2-LM,r3i1p1f1,0.00,ESD,,,AORCM,Basic,,5,,,,0.00,,,,,,,3.00,3.00,,,3.00,3.00,2.00,,,2.00,2.00,2.00,2.00,,,,,,,,,,,,2.00,1.00,,,bc dust oa so4 ss,,,
NorESM2-MM,r1i1p1f1,1.00,AORCM,,AORCM,3Dml,AORCM,AORCM,1,1.33,0.03,0.75,1.00,0.71,2.00,2.00,0.06,-0.03,,,,,,,,,3.00,0.84,,,,,1.20,1.80,1.33,1.70,2.50,-0.01,,2.43,4.20,-10.73,-28.51,2.00,3.00,3.20,CESM,bc dust oa so4 ss,2222122120.00,365_day,100.00
NorESM2-MM,r2i1p1f1,0.00,3Dml,,,3Dml,,,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,3.00,,,,,,
SAM0-UNICON,r1i1p1f1,0.00,3Dml,,,,,,0,2.27,,,,0.73,,,,,,,,,,,,,2.00,,,,,,,,2.27,,3.72,,,,,,,,,,,,2222222000.00,,100.00
TaiESM1,r1i1p1f1,1.00,AORCM,,AORCM,AORCM,AORCM,AORCM,1,2.34,,0.75,0.00,0.51,,,0.07,-0.03,,2.00,1.00,,,2.00,1.00,,2.00,0.83,1.00,2.00,1.00,1.00,1.10,1.80,2.34,1.58,4.31,-0.02,,,,,,4.00,4.00,,,dust,2222222000.00,365_day,100.00
UKESM1-0-LL,r1i1p1f2,1.00,AORCM,ESD,AORCM,AORCM,AORCM,AORCM,2,2.79,0.01,0.85,0.00,,0.00,1.00,0.06,-0.09,-0.43,1.00,1.00,1.00,2.00,1.00,2.00,,2.00,0.83,2.00,1.00,,,1.10,1.20,2.79,1.54,5.34,-0.02,1.46,4.88,6.34,-1.67,-51.27,5.00,5.00,5.20,HadGEM,dust,,360_day,250.00
UKESM1-0-LL,r2i1p1f2,1.00,AORCM,ESD,AORCM,AORCM,AORCM,AORCM,2,2.79,0.01,,0.00,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,2.79,1.54,,,,,,,,5.00,5.00,,HadGEM,dust,,,250.00
UKESM1-0-LL,r3i1p1f2,1.00,AORCM,ESD,AORCM,AORCM,AORCM,AORCM,2,2.79,0.01,,0.00,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,2.79,1.56,,,,,,,,5.00,5.00,,HadGEM,dust,,,250.00
UKESM1-0-LL,r4i1p1f2,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,0.01,,0.00,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,1.53,,,,,,,,5.00,5.00,,HadGEM,dust,,,
UKESM1-0-LL,r5i1p1f2,0.00,,,ESD,Basic,ESD,,0,,0.01,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r6i1p1f2,0.00,,,ESD,Basic,ESD,,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r7i1p1f2,0.00,,,ESD,Basic,ESD,,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r8i1p1f2,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,1.52,,,,,,,,5.00,5.00,,HadGEM,dust,,,
UKESM1-0-LL,r9i1p1f2,0.00,ESD,,ESD,Basic,ESD,,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r10i1p1f2,0.00,ESD,,ESD,Basic,ESD,,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r11i1p1f2,0.00,ESD,,ESD,Basic,ESD,,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r12i1p1f2,0.00,ESD,,ESD,Basic,ESD,,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r13i1p1f2,0.00,-,,ESD,ESD,Basic,Basic,1,,,,0.00,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,5.00,5.00,,HadGEM,dust,,,
UKESM1-0-LL,r14i1p1f2,0.00,Basic,,ESD,ESD,ESD,Basic,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r15i1p1f2,0.00,-,,ESD,ESD,ESD,ESD,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r16i1p1f2,0.00,ESD,,ESD,Basic,ESD,,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r17i1p1f2,0.00,ESD,,ESD,Basic,ESD,,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r18i1p1f2,0.00,ESD,,ESD,Basic,ESD,,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
UKESM1-0-LL,r19i1p1f2,0.00,ESD,,ESD,Basic,ESD,,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,2.00,,,,2.00,1.00,,,,,,,,,,,,,,,,,HadGEM,dust,,,
